Floor_Num,Total_Floor_Area,Column_Area,Concrete_Wall_AreaNS,Concrete_Wall_AreaEW,Masonry_Wall_AreaNS,Masonry_Wall_AreaEW,Captive_Columns,Damage_Class
2,2040,4,0,0,0,19,0,3
2,2638,3,0,0,11,31,0,1
3,2622,18,0,0,0,0,0,3
8,108424,28,131,128,0,0,0,2
2,2112,2,24,27,0,0,0,1
3,9021,24,0,0,36,46,0,1
2,3144,7,0,0,5,0,0,3
3,2757,6,0,0,0,0,1,3
2,4284,4,0,0,20,0,0,3
2,6691,43,0,0,80,0,0,1
5,50575,264,0,0,51,79,0,1
3,3915,18,0,0,0,0,1,3
5,18500,81,0,0,59,0,0,2
